time,id,payload
1751527815.611,5F3,FFEF008D00640000
1751527815.611,5F4,000003E803E803E8
1751527815.622,5F5,00640000006403E8
1751527815.622,5F6,006403E803E80000
1751527815.633,5F7,0000000000000000
1751527815.633,61B,0000000000000000
1751527815.644,624,0000000000000000
1751527815.644,5F0,0000070807080000
1751527815.654,5F3,FFF2008C00640000
1751527815.655,5F5,00640000006403E8
1751527815.673,5F0,0000070807080000
1751527815.731,5F6,006403E803E80000
1751527815.731,5F7,0000000000000000
1751527815.742,61B,0000000000000000
1751527815.752,624,0000000000000000
1751527815.753,5F2,03E803C802BC04F2
1751527815.763,5F4,000003E803E803E8
1751527815.775,5F0,0001070807080000
1751527815.869,5F0,0001070807080000
1751527815.969,5F0,0001070807080000
1751527816.069,5F3,FFF2008A00640000
1751527816.080,5F0,0001070807080000
1751527816.080,5F5,00640000006403E8
1751527816.170,5F0,0001070807080000
1751527816.171,116,0000000000000000
1751527816.182,117,050F8039A2C00000
1751527816.182,118,E0FF34001404
1751527816.193,119,FFFFFCFF0000
1751527816.270,5F0,0001070807080000
1751527816.271,116,0000000000000000
1751527816.282,117,050F8039A2C00000
1751527816.282,118,E4FF31001404
1751527816.293,119,FFFF0000FDFF
1751527816.370,5F0,0001070807080000
1751527816.371,116,0000000000000000
1751527816.382,117,050F8039A2C00000
1751527816.392,118,E8FF38001804
1751527816.393,119,FFFF0000FDFF
1751527816.470,5F0,0001070807080000
1751527816.471,116,0000000000000000
1751527816.482,117,050F8039A2C00000
1751527816.492,118,EAFF37001604
1751527816.493,119,FFFF0000FDFF
1751527816.570,5F3,FFF2007F00640000
1751527816.580,5F5,00640000006403E8
1751527816.581,5F0,000107080708010E
1751527816.591,116,0000000000000000
1751527816.591,117,050F8039A2C00000
1751527816.602,118,E2FF38001804
1751527816.602,119,FFFF0000FDFF
1751527816.671,116,0000000000000000
1751527816.672,117,050F8039A2C00000
1751527816.682,5F0,00011AC01AC0010E
1751527816.732,5F6,006403E803E80000
1751527816.732,5F7,0000000000000000
1751527816.743,61B,00000000000000FB
1751527816.753,624,0000000000000000
1751527816.754,5F2,03E803BF02BC04F4
1751527816.764,5F4,000003E803E803E8
1751527816.771,116,0000000000000000
1751527816.772,117,050F8039A2C00000
